Time-Step;flow-time;jmag(plano-eletrodos-a);jmag(plano-eletrodos-b);jmag(plano-eletrodos-c)
320.0;0.02656;13753523.17385997;1071815.137663894;11361479.71095507
321.0;0.026643;13268413.10201882;562003.5662205245;11632137.92644281
322.0;0.026726;12831037.97675909;132820.5150396216;11891485.58687079
323.0;0.026809;12353683.39340904;446491.1538794145;12113884.88133601
324.0;0.026892;11893985.98848611;926969.0102443916;12341853.35266442
325.0;0.026975;11390489.06456151;1467635.203051179;12578072.81188856
326.0;0.027058;10900533.51554766;2056327.590764636;12778489.84890963
327.0;0.027141;10353434.5563622;2705245.876331739;12972063.29803509
328.0;0.027224;9836805.280451844;3368116.042482652;13204781.06559295
329.0;0.027307;9279925.047578685;4032424.92174812;13363331.1899919
330.0;0.02739;8775747.717137778;4678911.061199744;13536117.5930336
331.0;0.027473;8216506.955723304;5333651.383803606;13720797.3247969
332.0;0.027556;7712385.628779519;5950668.826097593;13856243.69926317
333.0;0.027639;7197390.034373706;6558794.476938271;14018788.68920662
334.0;0.027722;6703431.5745763;7146493.960225858;14142376.11438878
335.0;0.027805;6213417.35747043;7723476.583819837;14293318.26667267
336.0;0.027888;5737338.045122443;8280578.871618318;14411496.50723483
337.0;0.027971;5272662.950198343;8832515.35354976;14550284.20546698
338.0;0.028054;4817523.090549926;9384370.017541971;14682261.50572564
339.0;0.028137;4371639.021570264;9932460.259300292;14818092.7070203
340.0;0.02822;3923586.688565322;10653335.67720828;15077270.41480384
341.0;0.028303;3498758.156385049;11565121.19216445;15488367.2680882
342.0;0.028386;3108628.70394239;12642672.07076389;16033671.25687074
343.0;0.028469;2737990.729841384;13880841.43724651;16690091.41027595
344.0;0.028552;2379312.307891;15159840.8728315;17398809.77947626
345.0;0.028635;2031377.075090082;16276700.9400413;18051104.64825927
346.0;0.028718;1692598.013348446;17218136.20410233;18553159.05775819
347.0;0.028801;1366470.475858353;18066448.65854446;18871116.44371646
348.0;0.028884;1050637.260623864;18870129.9412427;19220967.03527801
349.0;0.028967;738272.0141978364;19484587.29932873;19318652.86321308
350.0;0.02905;432083.661827625;20022189.15459196;19410861.9399788
351.0;0.029133;128588.8071054766;20392417.08113907;19215140.89085242
352.0;0.029216;170525.4404255071;20769520.10070875;19150559.58907837
353.0;0.029299;467672.7720273653;21012278.58305743;18824122.02826745
