"Time-Step";"flow-time";"current_in_a";"current_in_b";"current_in_c"
405;0.03374865;26432922.1963334;10031743.29950584;12450802.23984701
406;0.03383198;26442821.37001832;9252164.648294631;13317168.00633617
407;0.03391531;26400613.04610039;8443131.933895266;14158436.48326226
408;0.03399864;26321638.56500012;7609422.586555369;14960726.81457792
409;0.03408197;26193899.33286883;6764060.939568665;15752777.02197133
410;0.0341653;26035897.30716975;5917141.450376356;16518309.56607808
411;0.03424863;25831634.58520807;5086441.48324986;17201344.72775797
412;0.03433196;25594878.91025376;4271386.532532836;17900603.85365744
413;0.03441529;25335543.20531717;3480277.336360806;18549547.43451967
414;0.03449862;25040073.48606582;2711005.39789788;19240531.91530252
415;0.03458195;24729132.33501233;1983394.891167402;19858028.81670794
416;0.03466528;24366948.70668315;1296272.601314067;20427893.58807975
417;0.03474861;23986460.76177811;645586.7809109186;21010430.4803349
418;0.03483194;23577653.34680212;134970.6014156751;21485018.76388781
419;0.03491527;23130657.32882575;563977.2203613585;21907576.62237993
420;0.0349986;22665764.912405;1093883.668389472;22351443.71927542
421;0.03508193;22174306.84556706;1596898.594952614;22740617.81341174
422;0.03516526;21669149.20764611;2072386.357565196;23094985.26550238
423;0.03524859;21139077.02852179;2528093.911994932;23416690.69572318
424;0.03533192;20589148.22624704;2969619.838516187;23724267.60264575
425;0.03541525;20022109.92409875;3403399.069945529;23986933.40655335
426;0.03549858;19433150.81898757;3831815.64141303;24210428.16657612
427;0.03558191;18815304.94333178;4256869.88063908;24413283.21583233
